station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,status,county_name,sample_code,sample_date,sample_depth,sample_depth_units,parameter,result,reporting_limit,units,method_name
13494,03S02E07P003M,03S02E07P003M,03S02E07P003M,Groundwater,37.6809,121.7996,Review Status Unknown,Alameda,WDIS_0003485,3/5/80 11:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13494,03S02E07P003M,03S02E07P003M,03S02E07P003M,Groundwater,37.6809,121.7996,Review Status Unknown,Alameda,WDIS_0309048,4/22/86 13:35,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13496,03S02E08F001M,03S02E08F001M,03S02E08F001M,Groundwater,37.6881,121.7813,Review Status Unknown,Alameda,WDIS_0309057,6/3/88 12:20,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13496,03S02E08F001M,03S02E08F001M,03S02E08F001M,Groundwater,37.6881,121.7813,Review Status Unknown,Alameda,WDIS_0003490,7/7/80 14:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13497,03S02E08G001M,03S02E08G001M,03S02E08G001M,Groundwater,37.6881,121.7767,Review Status Unknown,Alameda,WDIS_0309060,6/30/76 0:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13497,03S02E08G001M,03S02E08G001M,03S02E08G001M,Groundwater,37.6881,121.7767,Review Status Unknown,Alameda,WDIS_0309065,9/7/83 11:10,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13498,03S02E08H001M,03S02E08H001M,03S02E08H001M,Groundwater,37.6881,121.7721,Review Status Unknown,Alameda,WDIS_0003499,8/8/76 0:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13499,03S02E08N002M,03S02E08N002M,03S02E08N002M,Groundwater,37.6809,121.7859,Review Status Unknown,Alameda,WDIS_0309077,5/8/86 13:05,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13499,03S02E08N002M,03S02E08N002M,03S02E08N002M,Groundwater,37.6809,121.7859,Review Status Unknown,Alameda,WDIS_0309078,6/3/88 12:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13500,03S02E08P001M,03S02E08P001M,03S02E08P001M,Groundwater,37.6809,121.7813,Review Status Unknown,Alameda,WDIS_0744865,4/4/79 14:30,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13500,03S02E08P001M,03S02E08P001M,03S02E08P001M,Groundwater,37.6809,121.7813,Review Status Unknown,Alameda,WDIS_0309081,5/8/75 0:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13500,03S02E08P001M,03S02E08P001M,03S02E08P001M,Groundwater,37.6809,121.7813,Review Status Unknown,Alameda,WDIS_0201397,7/7/87 13:20,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13501,03S02E08P002M,03S02E08P002M,03S02E08P002M,Groundwater,37.6809,121.7813,Review Status Unknown,Alameda,WDIS_0003516,4/19/82 12:50,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13501,03S02E08P002M,03S02E08P002M,03S02E08P002M,Groundwater,37.6809,121.7813,Review Status Unknown,Alameda,WDIS_0201398,4/28/87 8:51,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13501,03S02E08P002M,03S02E08P002M,03S02E08P002M,Groundwater,37.6809,121.7813,Review Status Unknown,Alameda,WDIS_0309092,6/15/77 0:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13502,03S02E09L001M,03S02E09L001M,03S02E09L001M,Groundwater,37.6845,121.763,Review Status Unknown,Alameda,WDIS_0309106,6/3/88 12:40,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13502,03S02E09L001M,03S02E09L001M,03S02E09L001M,Groundwater,37.6845,121.763,Review Status Unknown,Alameda,WDIS_0309105,8/9/84 11:15,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13502,03S02E09L001M,03S02E09L001M,03S02E09L001M,Groundwater,37.6845,121.763,Review Status Unknown,Alameda,WDIS_0309099,9/5/74 0:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13503,03S02E09P001M,03S02E09P001M,03S02E09P001M,Groundwater,37.6809,121.763,Review Status Unknown,Alameda,WDIS_0309114,6/3/88 14:15,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13504,03S02E09Q002M,03S02E09Q002M,03S02E09Q002M,Groundwater,37.6809,121.7584,Review Status Unknown,Alameda,WDIS_0201400,7/7/87 13:45,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13504,03S02E09Q002M,03S02E09Q002M,03S02E09Q002M,Groundwater,37.6809,121.7584,Review Status Unknown,Alameda,WDIS_0003531,7/12/77 14:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13504,03S02E09Q002M,03S02E09Q002M,03S02E09Q002M,Groundwater,37.6809,121.7584,Review Status Unknown,Alameda,WDIS_0003533,10/20/81 11:50,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13509,03S02E16B001M,03S02E16B001M,03S02E16B001M,Groundwater,37.6773,121.7584,Review Status Unknown,Alameda,WDIS_0201402,7/7/87 14:25,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
13509,03S02E16B001M,03S02E16B001M,03S02E16B001M,Groundwater,37.6773,121.7584,Review Status Unknown,Alameda,WDIS_0309125,7/31/75 0:00,,Feet,Total Mercury,0,0.001,ug/L,UnkMod Mercury
